number,opened_at,priority,state,assignment_group,assignee,cmdb_ci_class,short_description,ttc_hours,closed_at,sla_breach
INC100131,2025-02-14,3 - Moderate,New,App Dev,user291,cmdb_ci_app,Application error 500,19.651249668563565,2025-02-14 19:39:04.498806828,0
INC100132,2025-03-03,4 - Low,Closed,Network,user473,cmdb_ci_db_instance,VPN unstable,1.0734124278452508,2025-03-03 01:04:24.284740242,0
INC100133,2025-05-14,4 - Low,Closed,HR Tech,user146,cmdb_ci_app,Network latency issues,6.053376894751223,,0
INC100134,2025-10-11,2 - High,Closed,App Dev,user030,cmdb_ci_db_instance,VPN unstable,4.364432503423041,2025-10-11 04:21:51.957012322,0
INC100135,2025-01-28,4 - Low,New,Network,user040,cmdb_ci_app,Slow database performance,2.1257937342425524,2025-01-28 02:07:32.857443273,0
INC100136,2025-04-18,2 - High,New,App Dev,user030,cmdb_ci_server,VPN unstable,25.71629440379487,2025-04-19 01:42:58.659853661,1
INC100137,2025-02-13,2 - High,Closed,IT Support,user186,cmdb_ci_db_instance,Slow database performance,11.163694543280537,2025-02-13 11:09:49.300355809,0
INC100138,2025-10-13,4 - Low,In Progress,App Dev,user344,cmdb_ci_network,Network latency issues,14.05737254329981,2025-10-13 14:03:26.541155879,0
INC100139,2025-05-08,3 - Moderate,Resolved,App Dev,user353,cmdb_ci_server,Email down,4.522468969955284,2025-05-08 04:31:20.888291839,0
INC100140,2025-08-19,2 - High,Closed,App Dev,user072,cmdb_ci_app,Network latency issues,5.95424636285436,2025-08-19 05:57:15.286906275,0
INC100141,2025-07-09,3 - Moderate,In Progress,Network,user012,cmdb_ci_db_instance,VPN unstable,7.43879347210072,2025-07-09 07:26:19.656499562,0
INC100142,2025-08-13,2 - High,Resolved,App Dev,user392,cmdb_ci_server,Laptop will not boot,9.864819061369005,2025-08-13 09:51:53.348620928,0
INC100143,2025-10-10,3 - Moderate,In Progress,Network,user078,cmdb_ci_app,Slow database performance,12.632245976234907,2025-10-10 12:37:56.085514445,0
INC100144,2025-05-01,3 - Moderate,Closed,Network,user274,cmdb_ci_db_instance,User cannot access ServiceNow,12.093521892079009,,0
INC100145,2025-04-26,4 - Low,In Progress,Security,user236,cmdb_ci_server,User cannot access ServiceNow,6.260806723019368,2025-04-26 06:15:38.904202869,0
INC100146,2025-08-21,1 - Critical,In Progress,App Dev,user104,cmdb_ci_db_instance,Application error 500,20.151942278381703,2025-08-21 20:09:06.992202174,1
INC100147,2025-09-16,2 - High,Resolved,HR Tech,user577,cmdb_ci_app,Email down,17.574634029078567,2025-09-16 17:34:28.682504682,1
INC100148,2025-07-17,2 - High,In Progress,Network,user394,cmdb_ci_server,Email down,9.174949362937063,2025-07-17 09:10:29.817706573,0
INC100149,2025-05-17,2 - High,Resolved,App Dev,user037,cmdb_ci_app,Application error 500,7.643944256132746,2025-05-17 07:38:38.199322077,0
INC100150,2025-06-14,4 - Low,On Hold,HR Tech,user285,cmdb_ci_server,Email down,5.90176854407819,2025-06-14 05:54:06.366758681,0
INC100151,2025-08-13,4 - Low,In Progress,IT Support,user104,cmdb_ci_app,Application error 500,9.904746099305685,2025-08-13 09:54:17.085957500,0
INC100152,2025-08-22,3 - Moderate,New,HR Tech,user300,cmdb_ci_app,Password reset requested,16.97249416160162,2025-08-22 16:58:20.978981765,0
INC100153,2025-06-21,3 - Moderate,In Progress,Network,user530,cmdb_ci_db_instance,Network latency issues,7.77241360348347,2025-06-21 07:46:20.688972540,0
INC100154,2025-06-01,4 - Low,In Progress,Network,user591,cmdb_ci_db_instance,Slow database performance,4.818469071247564,2025-06-01 04:49:06.488656491,0
INC100155,2025-06-09,1 - Critical,In Progress,Network,user235,cmdb_ci_server,VPN unstable,7.646463389837881,,0
INC100156,2025-04-06,2 - High,Closed,Security,user365,cmdb_ci_server,Email down,9.295182394607735,2025-04-06 09:17:42.656620587,0
INC100157,2025-08-21,3 - Moderate,New,HR Tech,user532,cmdb_ci_app,Network latency issues,2.84509836087224,2025-08-21 02:50:42.354099140,0
INC100158,2025-06-29,4 - Low,In Progress,App Dev,user585,cmdb_ci_db_instance,Password reset requested,2.217581933127933,2025-06-29 02:13:03.294959260,0
INC100159,2025-04-23,3 - Moderate,In Progress,App Dev,user425,cmdb_ci_app,User cannot access ServiceNow,4.920809768652276,2025-04-23 04:55:14.915167148,0
INC100160,2025-02-21,3 - Moderate,Resolved,Network,user503,cmdb_ci_app,Application error 500,20.124843747127574,2025-02-21 20:07:29.437489659,0
INC100161,2025-09-25,2 - High,Resolved,HR Tech,user354,cmdb_ci_server,VPN unstable,16.351698986125843,2025-09-25 16:21:06.116350053,1
INC100162,2025-10-22,3 - Moderate,Closed,IT Support,user163,cmdb_ci_network,Application error 500,1.7505088992979827,2025-10-22 01:45:01.832037472,0
INC100163,2025-04-23,4 - Low,In Progress,HR Tech,user185,cmdb_ci_app,Application error 500,3.4424203533787523,2025-04-23 03:26:32.713272163,0
INC100164,2025-04-11,3 - Moderate,In Progress,App Dev,user376,cmdb_ci_app,Network latency issues,12.486955827146678,2025-04-11 12:29:13.040977728,0
INC100165,2025-04-23,3 - Moderate,In Progress,Network,user274,cmdb_ci_db_instance,Application error 500,5.425437762294083,2025-04-23 05:25:31.575944258,0
INC100166,2025-03-22,3 - Moderate,In Progress,HR Tech,user097,cmdb_ci_network,Email down,10.278663796067566,2025-03-22 10:16:43.189665843,0
INC100167,2025-07-06,4 - Low,Closed,Security,user505,cmdb_ci_network,Password reset requested,1.8544962881897915,2025-07-06 01:51:16.186637483,0
INC100168,2025-04-23,3 - Moderate,Resolved,Network,user143,cmdb_ci_app,Email down,7.533372135758182,2025-04-23 07:32:00.139688729,0
INC100169,2025-01-02,3 - Moderate,In Progress,Security,user429,cmdb_ci_app,VPN unstable,6.970517794477939,,0
INC100170,2025-05-10,3 - Moderate,Closed,Network,user559,cmdb_ci_network,Password reset requested,14.102828051881374,2025-05-10 14:06:10.180986772,0
INC100171,2025-08-08,2 - High,Closed,App Dev,user375,cmdb_ci_app,VPN unstable,9.866321995476287,2025-08-08 09:51:58.759183714,0
INC100172,2025-02-23,4 - Low,Closed,IT Support,user531,cmdb_ci_network,Email down,8.275695045370977,2025-02-23 08:16:32.502163335,0
INC100173,2025-08-12,4 - Low,In Progress,HR Tech,user045,cmdb_ci_server,Laptop will not boot,1.448537016327475,2025-08-12 01:26:54.733258778,0
INC100174,2025-08-13,3 - Moderate,In Progress,HR Tech,user103,cmdb_ci_db_instance,Slow database performance,24.034515990751963,2025-08-14 00:02:04.257566707,1
INC100175,2025-05-06,2 - High,In Progress,Network,user252,cmdb_ci_server,Slow database performance,11.88527703429718,2025-05-06 11:53:06.997323469,0
INC100176,2025-05-10,3 - Moderate,In Progress,IT Support,user569,cmdb_ci_server,Network latency issues,4.21494524336702,2025-05-10 04:12:53.802876121,0
INC100177,2025-02-22,3 - Moderate,In Progress,IT Support,user157,cmdb_ci_db_instance,Network latency issues,8.125220238727735,2025-02-22 08:07:30.792859419,0
INC100178,2025-06-21,2 - High,Closed,App Dev,user482,cmdb_ci_server,Password reset requested,5.556820562192362,2025-06-21 05:33:24.554023892,0
INC100179,2025-08-06,1 - Critical,In Progress,Security,user016,cmdb_ci_app,Slow database performance,6.39765044762947,2025-08-06 06:23:51.541611466,0
INC100180,2025-06-09,4 - Low,Resolved,HR Tech,user150,cmdb_ci_server,Application error 500,16.185288731469555,2025-06-09 16:11:07.039433290,0
INC100181,2025-07-17,4 - Low,Closed,Network,user328,cmdb_ci_server,Slow database performance,3.4280116292972744,2025-07-17 03:25:40.841865470,0
INC100182,2025-09-04,4 - Low,In Progress,IT Support,user311,cmdb_ci_app,Slow database performance,12.223264539217505,2025-09-04 12:13:23.752341183,0
INC100183,2025-07-22,3 - Moderate,In Progress,HR Tech,user482,cmdb_ci_app,Application error 500,16.63517392252394,2025-07-22 16:38:06.626121086,0
INC100184,2025-07-03,4 - Low,Resolved,HR Tech,user508,cmdb_ci_server,Application error 500,10.955257520259352,2025-07-03 10:57:18.927072933,0
INC100185,2025-05-03,3 - Moderate,Resolved,HR Tech,user073,cmdb_ci_server,VPN unstable,6.643742926656064,2025-05-03 06:38:37.474535961,0
INC100186,2025-09-12,3 - Moderate,Closed,IT Support,user099,cmdb_ci_app,Email down,3.9659164904850055,2025-09-12 03:57:57.299365746,0
INC100187,2025-10-21,4 - Low,Closed,App Dev,user395,cmdb_ci_db_instance,Password reset requested,4.440642026652222,2025-10-21 04:26:26.311295948,0
